Time,GDP,GDPDEF,COE,HOANBS,FEDFUNDS,PCEC,GPDI
31-Mar-1957,470.6,16.485,260.6,54.756,2.96,282.3,77.7
30-Jun-1957,472.8,16.601,262.5,54.639,3,284.6,77.9
30-Sep-1957,480.3,16.701,265.1,54.375,3.47,289.2,79.3
31-Dec-1957,475.7,16.711,263.7,53.249,2.98,290.8,71
31-Mar-1958,468.4,16.892,260.2,52.043,1.2,290.3,66.7
30-Jun-1958,472.8,16.94,259.9,51.297,0.93,293.2,65.1
30-Sep-1958,486.7,17.043,267.7,51.908,1.76,298.3,72
31-Dec-1958,500.4,17.123,272.7,52.683,2.42,302.2,80
31-Mar-1959,511.1,17.169,280.2,53.702,2.8,309.9,83.2
30-Jun-1959,524.2,17.194,286.9,54.73,3.39,315.9,89.4
30-Sep-1959,525.2,17.258,287.4,54.569,3.76,321.1,83.6
31-Dec-1959,529.3,17.326,290.7,54.576,3.99,323.2,86.5
31-Mar-1960,543.3,17.397,299.3,54.914,3.84,326.7,96.5
30-Jun-1960,542.7,17.443,302.3,55.011,3.32,332.6,87.1
30-Sep-1960,546,17.506,303.2,54.699,2.6,332.5,86.4
31-Dec-1960,541.1,17.56,302.7,54.191,1.98,334.5,76
31-Mar-1961,545.9,17.598,303.7,53.887,2.02,335,78.4
30-Jun-1961,557.4,17.641,308,53.761,1.73,339.9,84.1
30-Sep-1961,568.2,17.687,313,54.077,1.88,342.8,90.9
31-Dec-1961,581.6,17.745,319.7,54.764,2.33,350.1,92.9
31-Mar-1962,595.2,17.837,326.2,54.965,2.85,355.4,98.1
30-Jun-1962,602.6,17.866,332.1,55.621,2.68,361,96.7
30-Sep-1962,609.6,17.903,334.9,55.505,2.9,364.9,98.2
31-Dec-1962,613.1,17.938,338.4,55.151,2.93,371.1,95
31-Mar-1963,622.7,18.017,343.4,55.487,2.98,374.7,99.7
30-Jun-1963,631.8,18.047,348.3,55.837,2.99,378.9,101.6
30-Sep-1963,645,18.069,353.4,55.989,3.48,385.8,104.6
31-Dec-1963,654.8,18.216,359.6,56.423,3.38,390.5,107.2
31-Mar-1964,671.1,18.274,366,57.471,3.43,400.1,110.5
30-Jun-1964,680.8,18.318,373.5,57.721,3.5,408.1,110.5
30-Sep-1964,692.8,18.392,380.9,58.091,3.45,417,112.6
31-Dec-1964,698.4,18.476,387,58.655,3.85,419.6,115
31-Mar-1965,719.2,18.569,393.8,59.572,4.04,430.3,126.5
30-Jun-1965,732.4,18.652,400.8,60.162,4.04,437.2,127
30-Sep-1965,750.2,18.726,409.3,60.304,4.01,446.4,131.2
31-Dec-1965,773.1,18.853,421.4,60.875,4.32,460.4,133.8
31-Mar-1966,797.3,18.975,434.1,61.754,4.65,470.8,144.2
30-Jun-1966,807.2,19.131,445.4,62.36,5.17,475.9,143.5
30-Sep-1966,820.8,19.317,456.7,62.651,5.4,485,143.2
31-Dec-1966,834.9,19.481,464.9,62.483,5.4,490.8,145.9
31-Mar-1967,846,19.562,471.1,62.413,4.53,495.1,142.8
30-Jun-1967,851.1,19.661,476.8,62.031,3.98,504.2,137.5
30-Sep-1967,866.6,19.849,486.4,62.234,3.99,511.4,142.8
31-Dec-1967,883.2,20.067,497.4,62.517,4.51,518.9,147.7
31-Mar-1968,911.1,20.29,512.2,62.628,5.05,536.9,152.3
30-Jun-1968,936.3,20.504,525.3,63.229,6.07,550.6,158.9
30-Sep-1968,952.3,20.706,539.2,63.672,5.78,566.7,155.7
31-Dec-1968,970.1,20.999,551.7,64.065,6.02,575.6,160.8
31-Mar-1969,995.4,21.217,564.2,64.665,6.79,587.8,172.4
30-Jun-1969,1011.4,21.488,578.2,65.263,8.9,599.2,172.7
30-Sep-1969,1032,21.79,595,65.576,9.15,609.5,177.6
31-Dec-1969,1040.7,22.071,606.6,65.377,8.97,621.5,171.6
31-Mar-1970,1053.5,22.382,616.7,65.119,7.76,632.6,168.1
30-Jun-1970,1070.1,22.694,622,64.261,7.6,642.5,171.5
30-Sep-1970,1088.5,22.88,630,63.935,6.29,654.5,173.9
31-Dec-1970,1091.5,23.182,631.8,63.447,4.9,661.2,166.8
31-Mar-1971,1137.8,23.536,649.9,63.746,3.71,680.2,189.5
30-Jun-1971,1159.4,23.846,661.8,63.951,4.91,694.3,197.3
30-Sep-1971,1180.3,24.088,672.2,63.952,5.55,706.7,202.1
31-Dec-1971,1193.6,24.288,684.2,64.637,4.14,722.9,198.4
31-Mar-1972,1233.8,24.664,710.6,65.424,3.83,740.1,213
30-Jun-1972,1270.1,24.815,724.7,65.893,4.46,758.6,226.8
30-Sep-1972,1293.8,25.048,738.1,66.264,4.87,777.1,233.1
31-Dec-1972,1332,25.366,761.2,66.956,5.33,801.9,239.7
31-Mar-1973,1380.7,25.661,787.8,67.967,7.09,826.5,254.3
30-Jun-1973,1417.6,26.052,805.6,68.678,8.49,842,268.2
30-Sep-1973,1436.8,26.549,822.8,69.142,10.78,860.5,264.3
31-Dec-1973,1479.1,27.077,844.1,69.486,9.95,875.6,280.9
31-Mar-1974,1494.7,27.592,860.9,69.19,9.35,893.8,268.4
30-Jun-1974,1534.2,28.248,881.1,69.371,11.93,922.3,277.4
30-Sep-1974,1563.4,29.067,902.8,69.129,11.34,951.1,271
31-Dec-1974,1603,29.923,916.5,67.986,8.53,960.9,281.3
31-Mar-1975,1619.6,30.601,921.2,65.854,5.54,987.1,244.3
30-Jun-1975,1656.4,31.059,934.1,65.246,5.55,1015.8,243.3
30-Sep-1975,1713.8,31.612,959,65.843,6.24,1049.6,265.2
31-Dec-1975,1765.9,32.139,986.4,66.973,5.2,1078.5,276.2
31-Mar-1976,1824.5,32.473,1017.6,68.081,4.84,1112.3,304.6
30-Jun-1976,1856.9,32.803,1038.4,68.105,5.48,1132,322.3
30-Sep-1976,1890.5,33.226,1061.2,68.376,5.25,1161.3,328.3
31-Dec-1976,1938.4,33.815,1087.7,68.742,4.65,1195.1,337.6
31-Mar-1977,1992.5,34.359,1116.3,69.474,4.69,1230.6,360.3
30-Jun-1977,2060.2,34.841,1153.4,70.8,5.39,1258.5,389.7
30-Sep-1977,2122.4,35.27,1185.3,71.557,6.14,1289.7,414.1
